epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,2428.1,0.05106,0.97786,1,0.07656,0.001981,0.001981,0.001981
83,2458.08,0.04335,0.9784,1,0.07329,0.001882,0.001882,0.001882
84,2490.01,0.04395,0.97948,1,0.07134,0.001783,0.001783,0.001783
85,2520.23,0.04194,0.98164,1,0.06935,0.001684,0.001684,0.001684
86,2550.53,0.04476,0.97786,1,0.07169,0.001585,0.001585,0.001585
87,2581.21,0.04274,0.97732,1,0.07423,0.001486,0.001486,0.001486
88,2612.06,0.0397,0.97786,1,0.07262,0.001387,0.001387,0.001387
89,33.9373,0.03819,0.97894,1,0.07268,0.001288,0.001288,0.001288
90,66.4669,0.04055,0.97786,1,0.07228,0.001189,0.001189,0.001189
91,148.534,0.04173,0.97786,1,0.07218,0.00109,0.00109,0.00109
92,181.813,0.04156,0.98002,1,0.07142,0.000991,0.000991,0.000991
93,214.081,0.03596,0.97948,1,0.07228,0.000892,0.000892,0.000892
94,245.83,0.03774,0.98002,1,0.07194,0.000793,0.000793,0.000793
95,277.715,0.03733,0.98002,1,0.07046,0.000694,0.000694,0.000694
96,309.725,0.03619,0.98056,1,0.07008,0.000595,0.000595,0.000595
97,342.317,0.03562,0.98002,1,0.07059,0.000496,0.000496,0.000496
98,374.613,0.03757,0.98002,1,0.07149,0.000397,0.000397,0.000397
99,406.714,0.0386,0.97948,1,0.07123,0.000298,0.000298,0.000298
100,438.838,0.03583,0.97948,1,0.0709,0.000199,0.000199,0.000199
