epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3919.51,1.55783,2.0438,1.46945,0.28993,0.48745,0.30749,0.1435,1.2499,2.17413,1.15938,0.000990365,0.000990365,0.000990365
43,4014.93,1.60541,2.03947,1.50132,0.27542,0.50942,0.28673,0.13941,1.21508,2.34547,1.12364,0.000973861,0.000973861,0.000973861
44,4104.13,1.59375,2.05169,1.49141,0.33465,0.4748,0.32143,0.15301,1.24778,5.5492,1.17556,0.000957358,0.000957358,0.000957358
45,4191.75,1.54014,1.96735,1.47663,0.30304,0.53829,0.31295,0.14996,1.21405,3.92101,1.14243,0.000940855,0.000940855,0.000940855
46,4276.9,1.54409,1.99984,1.47675,0.31931,0.42386,0.33257,0.16805,1.23506,1.85573,1.12044,0.000924352,0.000924352,0.000924352
47,4362.14,1.54152,1.96239,1.46306,0.28644,0.54914,0.32115,0.16991,1.1951,2.01537,1.11643,0.000907848,0.000907848,0.000907848
48,4447.48,1.51865,1.96462,1.44327,0.30255,0.45057,0.30066,0.15251,1.27134,2.21022,1.18614,0.000891345,0.000891345,0.000891345
49,4534.2,1.54053,1.95384,1.46968,0.30262,0.5271,0.3326,0.17044,1.21524,2.15236,1.11652,0.000874842,0.000874842,0.000874842
50,4621.19,1.51875,1.93669,1.44992,0.3086,0.53794,0.31426,0.16113,1.19889,3.78018,1.11382,0.000858338,0.000858338,0.000858338
51,4705.6,1.53072,1.93323,1.47183,0.29176,0.53771,0.32477,0.15326,1.20456,4.24927,1.13134,0.000841835,0.000841835,0.000841835
52,4790.71,1.51665,1.89485,1.45172,0.30982,0.55603,0.32589,0.16162,1.23688,5.07917,1.14994,0.000825332,0.000825332,0.000825332
53,4875.31,1.52314,1.89031,1.45262,0.31512,0.53361,0.34515,0.16511,1.26833,1.79124,1.1766,0.000808828,0.000808828,0.000808828
