epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9460.7,1.35749,1.70948,1.23457,0.60056,0.55016,0.56776,0.24416,0.21962,0.38593,0.22759,0.005842,0.005842,0.005842
44,9679.25,1.35128,1.72896,1.24748,0.61167,0.51456,0.54624,0.24667,0.21995,0.33446,0.22636,0.005743,0.005743,0.005743
45,9898.62,1.38091,1.71493,1.26423,0.61762,0.54693,0.56856,0.24714,0.21241,0.39914,0.22338,0.005644,0.005644,0.005644
46,10117.9,1.36871,1.76074,1.25015,0.60703,0.56958,0.57421,0.24378,0.21741,0.6504,0.22524,0.005545,0.005545,0.005545
47,10336.4,1.36685,1.70337,1.24114,0.69872,0.54369,0.60189,0.25962,0.21521,0.65522,0.22725,0.005446,0.005446,0.005446
48,10556.2,1.41761,1.71748,1.27072,0.60654,0.56311,0.58802,0.25908,0.21609,0.57582,0.22653,0.005347,0.005347,0.005347
49,10775.1,1.38322,1.73692,1.25127,0.69757,0.58224,0.61947,0.27032,0.21383,0.4881,0.22535,0.005248,0.005248,0.005248
50,10994.2,1.31206,1.68979,1.20942,0.68315,0.58612,0.61923,0.27316,0.21181,0.61256,0.22243,0.005149,0.005149,0.005149
51,11213.7,1.38527,1.73872,1.28488,0.70819,0.58121,0.61536,0.26782,0.20772,0.47161,0.22191,0.00505,0.00505,0.00505
52,11432,1.29345,1.71756,1.22264,0.67175,0.53722,0.60714,0.26342,0.21265,0.41531,0.22455,0.004951,0.004951,0.004951
53,11651,1.35559,1.68414,1.24522,0.68176,0.57605,0.61831,0.25947,0.21522,0.44121,0.22592,0.004852,0.004852,0.004852
54,11870.6,1.38194,1.68123,1.28064,0.66936,0.56998,0.61775,0.27,0.20865,0.53188,0.22021,0.004753,0.004753,0.004753
55,12089.5,1.33498,1.64648,1.2415,0.66123,0.54369,0.61605,0.2726,0.21632,0.47388,0.22518,0.004654,0.004654,0.004654
56,12310.5,1.35207,1.61747,1.24292,0.65995,0.57929,0.62983,0.27632,0.21684,0.41251,0.2255,0.004555,0.004555,0.004555
57,12532.1,1.23702,1.54187,1.13971,0.66501,0.58252,0.61809,0.26591,0.21653,0.37349,0.22368,0.004456,0.004456,0.004456
58,12776.6,1.3041,1.60039,1.22286,0.71713,0.57431,0.65502,0.28915,0.21507,0.4528,0.22445,0.004357,0.004357,0.004357
