epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.729,2.43172,9.82402,2.25646,0.00826,0.387,0.01776,0.00455,0.56095,1.98399,0.60261,0.0700642,0.0033262,0.0033262
2,472.364,2.44691,8.06206,2.16587,0.00356,0.70493,0.01691,0.00498,0.60334,5.26223,0.59566,0.0399983,0.0065936,0.0065936
3,699.338,2.54442,8.00395,2.20213,0,0,0,0,0.73405,3.08198,0.78205,0.00986638,0.009795,0.009795
4,929.597,2.55147,8.04056,2.23398,0.00272,0.53132,0.0109,0.00267,0.63038,3.14842,0.62123,0.009703,0.009703,0.009703
5,1161.21,2.53464,7.74912,2.21413,0.03932,0.06983,0.01801,0.00488,0.58799,19.3895,0.5375,0.009604,0.009604,0.009604
6,1391.2,2.48129,7.70046,2.23249,0.00379,0.77764,0.02148,0.00565,0.60456,3.47259,0.58845,0.009505,0.009505,0.009505
7,1622.84,2.46126,7.53674,2.26528,0.01995,0.1089,0.01846,0.0047,0.6449,65.269,0.64882,0.009406,0.009406,0.009406
8,1853.4,2.43795,7.49989,2.19772,0.00355,0.76806,0.03059,0.00875,0.58145,7.93955,0.55907,0.009307,0.009307,0.009307
9,2080.21,2.39863,7.28252,2.15887,0.01591,0.10142,0.0111,0.00424,0.62319,2.59678,0.58112,0.009208,0.009208,0.009208
10,2309.89,2.33789,7.31381,2.13413,0.02601,0.12263,0.0237,0.00697,0.57515,6.36715,0.58209,0.009109,0.009109,0.009109
11,2541.54,2.36724,7.17422,2.13457,0.52682,0.12104,0.04464,0.01186,0.5951,42.5211,0.56577,0.00901,0.00901,0.00901
12,2772.16,2.34905,7.21595,2.11556,0.54107,0.1135,0.04191,0.01218,0.57575,12.3106,0.5664,0.008911,0.008911,0.008911
13,3002.2,2.33495,7.09638,2.10732,0.53517,0.20245,0.05346,0.01515,0.57574,9.89782,0.55499,0.008812,0.008812,0.008812
14,3231.86,2.33446,7.11447,2.12316,0.03201,0.2975,0.02881,0.00873,0.55305,4.79501,0.57518,0.008713,0.008713,0.008713
15,3462.63,2.33209,7.03479,2.09222,0.52483,0.08436,0.03217,0.00786,0.58379,20.3248,0.57622,0.008614,0.008614,0.008614
16,3692.09,2.34104,6.9914,2.11897,0.00694,0.76741,0.0482,0.01452,0.57464,3.2388,0.55692,0.008515,0.008515,0.008515
17,3923.29,2.31498,7.04357,2.07262,0.0021,0.87315,0.04741,0.01438,0.57261,13.5292,0.55627,0.008416,0.008416,0.008416
18,4153.18,2.32348,6.87367,2.08726,0.00375,0.87703,0.05461,0.01599,0.55655,4.66975,0.54695,0.008317,0.008317,0.008317
19,4384.19,2.30083,7.00456,2.06976,0.01482,0.6431,0.04452,0.0134,0.56908,27.1746,0.54998,0.008218,0.008218,0.008218
